	Domain	Phylum	Class	Subclass	Order	Suborder	Family	Genus
OTU1	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Oceanospirillales	Oceanospirillales_suborder	Halomonadaceae	Halomonas
OTU2	Bacteria	Fusobacteria	Fusobacteria	Fusobacteria_subclass	Fusobacteriales	Fusobacteriales_suborder	Fusobacteriaceae	Cetobacterium
OTU3	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Alteromonadales	Alteromonadales_suborder	Shewanellaceae	Shewanella
OTU4	Bacteria	Firmicutes	Negativicutes	Negativicutes_subclass	Selenomonadales	Selenomonadales_suborder	Veillonellaceae	Anaeroglobus
OTU5	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Vibrionales	Vibrionales_suborder	Vibrionaceae	Vibrio
OTU6	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Pseudomonadaceae	Pseudomonas
OTU7	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Aeromonadales	Aeromonadales_suborder	Aeromonadaceae	Aeromonas
OTU8	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Flavobacterium
OTU9	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Moraxellaceae	Acinetobacter
OTU10	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Sphingomonadales	Sphingomonadales_suborder	Sphingomonadaceae	Sphingomonas
OTU11	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Enterobacteriales	Enterobacteriales_suborder	Enterobacteriaceae	Yersinia
OTU12	Bacteria	Tenericutes	Mollicutes	Mollicutes_subclass	Mycoplasmatales	Mycoplasmatales_suborder	Mycoplasmataceae	Mycoplasma
OTU13	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Rhizobiaceae	Rhizobium
OTU14	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Oceanospirillales	Oceanospirillales_suborder	Oceanospirillaceae	Oleibacter
OTU15	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Catellibacterium
OTU16	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Roseibacterium
OTU17	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Vibrionales	Vibrionales_suborder	Vibrionaceae	Vibrio
OTU18	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Alteromonadales	Alteromonadales_suborder	Alteromonadaceae	Marinobacter
OTU19	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Pseudomonadaceae	Pseudomonas
OTU20	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Sneathiellales	Sneathiellales_suborder	Sneathiellaceae	Sneathiella
OTU21	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Bacillales	Bacillales_suborder	Staphylococcaceae	Staphylococcus
OTU22	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Hyphomicrobium
OTU23	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Comamonadaceae	Pelomonas
OTU24	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Paracoccus
OTU25	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Rhodocyclales	Rhodocyclales_suborder	Rhodocyclaceae	Azoarcus
OTU26	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Rhodocyclales	Rhodocyclales_suborder	Rhodocyclaceae	Shinella
OTU27	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Burkholderiaceae	Limnobacter
OTU28	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Comamonadaceae	Hydrogenophaga
OTU29	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Pseudomonadaceae	Pseudomonas
OTU30	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_subclass	Myxococcales	Nannocystineae	Nannocystaceae	Enhygromyxa
OTU31	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Cytophagaceae	Emticicia
OTU32	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Xanthomonadales	Xanthomonadales_suborder	Xanthomonadaceae	Stenotrophomonas
OTU33	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Neisseriales	Neisseriales_suborder	Neisseriaceae	Microvirgula
OTU34	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Moraxellaceae	Acinetobacter
OTU35	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Bradyrhizobiaceae	Bosea
OTU36	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Paracoccus
OTU37	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Moraxellaceae	Enhydrobacter
OTU38	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Bradyrhizobiaceae	Bradyrhizobium
OTU39	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Pseudomonadaceae	Pseudomonas
OTU40	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Micrococcaceae	Micrococcus
OTU41	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Neisseriales	Neisseriales_suborder	Neisseriaceae	Chitinibacter
OTU42	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Burkholderiaceae	Ralstonia
OTU43	Bacteria	Proteobacteria	Epsilonproteobacteria	Epsilonproteobacteria_subclass	Campylobacterales	Campylobacterales_suborder	Helicobacteraceae	Helicobacter
OTU44	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Pseudonocardineae	Pseudonocardiaceae	Pseudonocardia
OTU45	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Brevibacteriaceae	Brevibacterium
OTU46	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Hyphomicrobium
OTU47	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Paracoccus
OTU48	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Flammeovirgaceae	Roseivirga
OTU49	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Hyphomicrobium
OTU50	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Mycobacteriaceae	Mycobacterium
OTU51	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Stappia
OTU52	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Chloroplast_subclass	Chloroplast_subclass_order	Chloroplast_subclass_order_suborder	Chloroplast	Streptophyta
OTU53	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Phyllobacteriaceae	Mesorhizobium
OTU54	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Gammaproteobacteria_incertae_sedis	Gammaproteobacteria_incertae_sedis_suborder	Gammaproteobacteria_incertae_sedis_suborder_family	Thioprofundum
OTU55	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Methylobacteriaceae	Methylobacterium
OTU56	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Flammeovirgaceae	Fulvivirga
OTU57	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Streptococcaceae	Streptococcus
OTU58	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Prevotellaceae	Prevotella
OTU59	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Alteromonadales	Alteromonadales_suborder	Alteromonadaceae	Marinobacterium
OTU60	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Nocardiaceae	Rhodococcus
OTU61	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodospirillales	Rhodospirillales_suborder	Rhodospirillaceae	Dongia
OTU62	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Methylococcales	Methylococcales_suborder	Methylococcaceae	Methylococcus
OTU63	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Sphingomonadales	Sphingomonadales_suborder	Sphingomonadaceae	Sphingomonas
OTU64	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Moraxellaceae	Psychrobacter
OTU65	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Corynebacteriaceae	Corynebacterium
OTU66	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Lactobacillaceae	Lactobacillus
OTU67	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Bacillales	Bacillales_suborder	Bacillaceae 1	Anoxybacillus
OTU68	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Singulisphaera
OTU69	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacterales_suborder	Conexibacteraceae	Conexibacter
OTU70	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Clostridiales_Incertae Sedis XI	Gallicola
OTU71	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Xanthobacteraceae	Xanthobacter
OTU72	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Comamonadaceae	Macromonas
OTU73	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Pedomicrobium
OTU74	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Legionellales	Legionellales_suborder	Legionellaceae	Legionella
OTU75	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Caulobacterales	Caulobacterales_suborder	Hyphomonadaceae	Woodsholea
OTU76	Bacteria	Proteobacteria	Epsilonproteobacteria	Epsilonproteobacteria_subclass	Campylobacterales	Campylobacterales_suborder	Helicobacteraceae	Helicobacter
OTU77	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Pseudomonadaceae	Pseudomonas
OTU78	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Nocardiaceae	Gordonia
OTU79	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Zavarzinella
OTU80	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Oceanospirillales	Oceanospirillales_suborder	Halomonadaceae	Salinicola
OTU81	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Comamonadaceae	Variovorax
OTU82	Bacteria	Chlamydiae	Chlamydiae	Chlamydiae_subclass	Chlamydiales	Chlamydiales_suborder	Parachlamydiaceae	Neochlamydia
OTU83	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Methylococcales	Methylococcales_suborder	Methylococcaceae	Methylococcus
OTU84	Bacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_subclass	Syntrophobacterales	Syntrophobacterales_suborder	Syntrophobacteraceae	Desulfacinum
OTU85	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Gemmata
OTU86	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Rhizobiaceae	Rhizobium
OTU87	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Alcaligenaceae	Bordetella
OTU88	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Rhizobiaceae	Ensifer
OTU89	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteria_subclass	Sphingobacteriales	Sphingobacteriales_suborder	Chitinophagaceae	Ferruginibacter
OTU90	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Carnobacteriaceae	Dolosigranulum
OTU91	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	Chloroplast_subclass	Chloroplast_subclass_order	Chloroplast_subclass_order_suborder	Chloroplast	Bacillariophyta
OTU92	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Pedomicrobium
OTU93	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Rhodobiaceae	Anderseniella
OTU94	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Corynebacteriaceae	Corynebacterium
OTU95	Bacteria	Chlamydiae	Chlamydiae	Chlamydiae_subclass	Chlamydiales	Chlamydiales_suborder	Parachlamydiaceae	Parachlamydia
OTU96	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Cryomorphaceae	Wandonia
OTU97	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Phyllobacteriaceae	Aquamicrobium
OTU98	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Chryseobacterium
OTU99	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Phaeobacter
OTU100	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Carnobacteriaceae	Trichococcus
OTU101	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Neisseriales	Neisseriales_suborder	Neisseriaceae	Stenoxybacter
OTU102	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Dietziaceae	Dietzia
OTU103	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Blastopirellula
OTU104	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Caulobacterales	Caulobacterales_suborder	Caulobacteraceae	Brevundimonas
OTU105	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Sutterellaceae	Sutterella
OTU106	Bacteria	Deinococcus-Thermus	Deinococci	Deinococci_subclass	Deinococcales	Deinococcales_suborder	Deinococcaceae	Deinococcus
OTU107	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhizobiales	Rhizobiales_suborder	Hyphomicrobiaceae	Hyphomicrobium
OTU108	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae	Solirubrobacterales	Solirubrobacterales_suborder	Conexibacteraceae	Conexibacter
OTU109	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Pseudomonadales_incertae_sedis	Dasania
OTU110	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Streptococcaceae	Streptococcus
OTU111	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Lactobacillales	Lactobacillales_suborder	Aerococcaceae	Aerococcus
OTU112	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Burkholderiales	Burkholderiales_suborder	Oxalobacteraceae	Naxibacter
OTU113	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Flavobacterium
OTU114	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Gammaproteobacteria_incertae_sedis	Gammaproteobacteria_incertae_sedis_suborder	Gammaproteobacteria_incertae_sedis_suborder_family	Methylonatrum
OTU115	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Zavarzinella
OTU116	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodobacterales	Rhodobacterales_suborder	Rhodobacteraceae	Ahrensia
OTU117	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Peptostreptococcaceae	Acetoanaerobium
OTU118	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Corynebacterineae	Corynebacteriaceae	Corynebacterium
OTU119	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Pseudomonadales	Pseudomonadales_suborder	Pseudomonadaceae	Serpens
OTU120	Bacteria	Chlamydiae	Chlamydiae	Chlamydiae_subclass	Chlamydiales	Chlamydiales_suborder	Parachlamydiaceae	Parachlamydia
OTU121	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Legionellales	Legionellales_suborder	Legionellaceae	Legionella
OTU122	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Planctomyces
OTU123	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Alteromonadales	Alteromonadales_suborder	Colwelliaceae	Thalassomonas
OTU124	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Clostridiales_Incertae Sedis XIII	Anaerovorax
OTU125	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Gemmata
